,Brand,Type,Material,color,From New Season,Manufacturing country,Description,Price
199,Stella McCartney,Shoulder Bags,signature diamond-cut chain-link trim,black,Conscious,Made in Italy,"Stella McCartney reimagines the signature chain-trimmed Falabella style with every new collection. Here, it is realised as a mini shoulder bag in black faux leather, featuring the diamond-cut whipstitched chain in a polished silver-tone finish.",$660
200,Valentino Garavani,Messenger & Crossbody Bags,,,,Made in Italy,,$879
201,Tory Burch,Tote Bags,calf leather,black,New Season,,,"$1,039"
202,TOM FORD,Tote Bags,calf leather,black,New Season,Made in Italy,,"$1,370"
203,Moschino,Mini Bags,gold-tone hardware,black,New Season,,"Moschino's extravagant gold-tone logo plaque is the centre stage of this backpack. In a miniature size, the compact iteration is instantly distinctive of the brand thanks to the bold branding that pops against the tonal design.",$438
204,Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,gold-tone,New Season,Made in Italy,,"$1,604"
205,Valentino Garavani,Tote Bags,leather,black,,Made in Italy,"The pinnacle of Italian designs. Crafted from leather, this Roman Stud chain bag from Valentino Garavani features maxi stud embellishments and a quilted finish that give this exquisite piece a glamorous look. Impossible not to notice.","$3,562"
206,Stella McCartney,Messenger & Crossbody Bags,artificial leather,taupe,New Season,Made in Italy,"Stella McCartney applies its signature perforated logo detail onto a new silhouette every season. Crafted from the brand's signature eco-conscious faux leather, this Stella Logo shoulder bag presents the hallmark design on a neutral-hued base. A branded, adjustable shoulder strap completes the accessory.",$889
207,Balmain,Mini Bags,leather,black/white,New Season,Made in Italy,"An advocate for the logomania trend, Balmain introduces this mini bag. Crafted from leather, this accessory is defined by the all-over monogram print, a motif that reflects Pierre Balmain’s fascination with labyrinth gardens.",$760
208,Jacquemus,Tote Bags,raffia,light brown,,Made in Italy,"Jacquemus' innovative approach to minimalist design is showcased on this tote bag from the SS23 collection, which is constructed from woven raffia with monochromatic trim detailing. The gold-tone hardware logo plaque at the front adds an opulent edge to the design. ",$540
209,DeMellier,Messenger & Crossbody Bags,calf leather,off-white,New Season,,,$403
210,GANNI,Tote Bags,organic cotton,jet black/canary yellow/ light beige,New Season,,,$190
211,Tory Burch,Shoulder Bags,calf leather,cream white,New Season,,"Tory Burch's Kira shoulder bag is defined by a quilted construction and the familiar Double T logo plaque, here centralised at the front of this cream-hued design and presented in gold-tone hardware.",$390
212,MM6 Maison Margiela,Tote Bags,calf leather,green,New Season,,Maison Margiela balances a bold silhouette with a minimalist aesthetic to create this Japanese tote bag design. The brand's signature stitch logo at the front of the accessory reiterates this understated approach. ,$343
213,Alexander Wang,Mini Bags,silver-tone hardware,faded neon orange,New Season,Made in Italy,,$720
214,Vanina,Clutch Bags,glass,milk white,New Season,,,$438
215,Isabel Marant,Shoulder Bags,calf leather,burgundy,New Season,,,$951
216,Tory Burch,Tote Bags,calf leather,brown,,,,"$1,035"
217,Valentino Garavani,Tote Bags,,,,Made in Italy,,"$2,522"
218,Valentino Garavani,Messenger & Crossbody Bags,,,,Made in Italy,,"$1,399"
219,Stella McCartney,Shoulder Bags,faux leather,black,New Season,Made in Italy,"Stella McCartney updates its signature diamond-cut chain detailing each season, refreshing the classic trim for new silhouettes. Crafted from the brand's faux leather, this mini Frayme zipped shoulder bag is embellished with the chunky gold and silver-tone chain, interwoven with the trademark whipstitch detailing.","$1,440"
220,Chloé,Messenger & Crossbody Bags,calf leather,caramel brown,New Season,Made in Italy,,"$1,094"
221,Dolce & Gabbana,Messenger & Crossbody Bags,leather,black,New Season,Made in Italy,,"$1,327"
222,TOM FORD,Shoulder Bags,leather,black,New Season,Made in Italy,"Synonymous with craftsmanship and refined simplicity, TOM FORD's accessory collections have a strong focus on construction and detailing. This mini shoulder bag, for example, is made from silk with a leather interior and adorned with the brand's lozenge detail - a logo patch with a geometric shape. The shoulder strap takes its form from a gold-tone chunky chain for yet another striking detail.","$1,140"
223,Amina Muaddi,Clutch Bags,crystal embellishment,silver-tone,New Season,Made in Italy,"A signature Amina Muaddi design, this iteration of the Paloma clutch features a box-shaped design that highlights the shimmering crystal embellishments.","$1,583"
224,Vanina,Shoulder Bags,calf leather,silver-tone,New Season,,,$294
225,Tory Burch,Messenger & Crossbody Bags,leather,black ,New Season,,,$520
226,Jimmy Choo,Tote Bags,,,,Made in Italy,,"$1,000"
227,Stella McCartney,Tote Bags,faux leather,black,New Season,Made in Italy,,"$1,087"
228,Kvadrat,Tote Bags,wool blend,dark green,,Made in Italy,"Kvadrat joins forces with Raf Simons on this tote bag, creating a piece that pairs lively hues with practicality, thanks to a spacious main compartment and lightweight design.",$428
229,Bao Bao Issey Miyake,Tote Bags,artificial leather,plum purple,New Season,,,$609
230,Wandler,Tote Bags,calf leather,camel brown,New Season,Made in Italy,,$965
231,Rosantica,Mini Bags,metal/glass/pearl,rose pink/gold-tone,New Season,,,"$1,156"
232,Alexander Wang,Mini Bags,bear shape,crystal embellishment,,,"Innovative and opulent, this mini bag from Alexander Wang has an eye-catching effect through its bear shape and all-over crystal embellishment. Finished with logo-tape detailing at the wrist strap, the accessory continues to tie in with the brand's streetwear influences. ","$1,135"
233,Tod's,Shoulder Bags,calf leather,black,New Season,Made in Italy,,"$1,135"
234,GANNI,Messenger & Crossbody Bags,recycled polyester,black/beige,New Season,,,$165
235,TOM FORD,Tote Bags,calf leather,black,New Season,Made in Italy,"Crafted from grained calf leather, the Jennifer bag is imagined by Tom Ford in a classic black hue. The rounded shape adds a soft touch to the timeless top-handle design.","$2,810"
236,STAND STUDIO,Clutch Bags,lambskin,beige,,,,$477
237,FPM Milano,Luggage,,,,Made in Italy,,"$2,017"
238,Stella McCartney,Shoulder Bags,chain-link detailing,black,New Season,Made in Italy,,"$1,224"
239,Tod's,Shoulder Bags,calf leather,black,,Made in Italy,,"$2,185"
240,Balmain,Shoulder Bags,cotton blend,off-white/brown,New Season,,,$915
241,GANNI,Tote Bags,recycled polyamide,lemon yellow,New Season,,GANNI's mini Knot top-handle bag is made from recycled polyamide and recycled leather as part of the brand's efforts to minimise its carbon footprint. This yellow iteration is fully lined and opens to several slots for your most-used cards.,$215
242,Jacquemus,Tote Bags,single flat top handle,black,,Made in Italy,"Jacquemus heralded the mini bag trend back in AW17 and has since become a key player in the luxury leather goods sphere. This latest iteration enlarges the style, coined Le Grand Bambino and is designed in the same sleek, smooth calf leather, featuring the signature gold-tone branded plaque.",$752
243,Versace,Messenger & Crossbody Bags,calf leather,jet black,,Made in Italy,,"$2,330"
244,See by Chloé,Shoulder Bags,leather,black,New Season,,"The signature Joan bag from See by Chloé is presented for SS23 in a slouchy shoulder design, complete with the iconic ring detailing and imagined in a versatile black hue. ",$555
245,Isabel Marant,Shoulder Bags,Crafted from leather,Russet brown,,Made in Italy,"You're looking at your new favourite bag. A champion of effortless cool, Isabel Marant's shoulder bag is perfect for everyday. You know what to do.",$910
246,Tory Burch,Shoulder Bags,silver-tone logo plaque,black,Conscious,,"Named after Tory Burch's boutique in New York City's SoHo neighbourhood, the 151 Mercer shoulder bag boasts a minimal '90s silhouette. In a tonal black colourway, it has three carrying options: a top handle, a chain shoulder strap and an adjustable crossbody strap.",$362
247,Tory Burch,Messenger & Crossbody Bags,calf leather,auburn brown,New Season,,,$397
248,Isabel Marant,Messenger & Crossbody Bags,,,,,"Isabel Marant offers nonchalant Parisian elegance and this Wasy bag is no different. Combining cognac brown suede with brown leather, this crossbody bag is punctuated with gold-tone hardware.",$540
249,Vanina,Shoulder Bags,glass,white,New Season,,,$554
250,Jacquemus,Tote Bags,cotton,light grey,,,"Keeping to a neutral grey-toned colour palette, Jacquemus chooses to focus on an experimental silhouette in their Le Sac Rond tote bag. Crafted from a refined cotton canvas, the piece centres around the striking circular hoop handle for an innovative and playful shape.",$848
251,Lemaire,Shoulder Bags,canvas,black,New Season,,"Inspired by Lemaire’s iconic Croissant bag, the Soft Game bag has a sturdy structure that holds its curved shape. Metal eyelets and laces close in the bottom, allowing its volume to be adjusted. ",$862
252,Balmain,Tote Bags,cotton-linen blend/calf leather,beige/brown,New Season,Made in Italy,,"$1,080"
253,Ferragamo,Tote Bags,leather,black,,Made in Italy,"Less is more, right? So, pack lightly with the help of this mini tote bag by Italian fashion house, Salvatore Ferragamo, boasting a detachable leather shoulder strap and a gold-tone Gancini buckle. Phone, red lipstick, card, that'll be all, thanks.",$615
254,Chloé,Tote Bags,calf leather,black/multicolour,New Season,Made in Italy,,"$1,694"
255,Tod's,Tote Bags,,,,,,"$1,887"
256,BY FAR,Mini Bags,pink/purple,goatskin/cotton,New Season,,"BY FAR's Rachel bag, which takes its name from Rachel Green of the popular television programme Friends, is made in Italy from smooth leather and is modelled by iconic '90s shapes. This functional tote bag, which comes with an adjustable shoulder strap, is completed with elegant silver-tone hardware and top zip fastening.",$320
257,Jacquemus,Tote Bags,leather,pale blue,New Season,Made in Italy,"Reimagined for SS23 in a 'Long' version, Jacquemus' Le Bambino shoulder bag is crafted from pale blue leather and is defined by its elongated rectangular shape. The signature logo plaque is featured on the front in a polished golden hue.",$875
258,GANNI,Shoulder Bags,recycled leather,black,New Season,,,$390
259,Isabel Marant,Belt Bags,calf leather,black,New Season,,,$575
260,Tory Burch,Tote Bags,logo patch to the front,cream/camel brown,,,"Designed for a wearable style, this Ella bag from Tory Burch boasts a compact construction with a lightweight finish. To the front, a camel brown logo patch adds subtle branding.",$595
261,DeMellier,Messenger & Crossbody Bags,calf leather,cognac brown,New Season,,,$465
262,Alexander Wang,Shoulder Bags,rhinestone embellishment,black,,Made in United States,"Night out ahead? Pack all your essentials and don't put too much thought into your outfit, as all eyes will be on this Heiress rhinestone-embellished mini bag from Alexander Wang. No disco ball needed.",$790
263,See by Chloé,Tote Bags,goatskin/cotton/linen,caramel brown/white,New Season,,,$581
264,STAND STUDIO,Shoulder Bags,lambskin,sandstone,,,,$543
265,Isabel Marant,Tote Bags,cotton,blue,New Season,,,$220
266,Dolce & Gabbana,Shoulder Bags,leather,powder pink,New Season,Made in Italy,"Dolce & Gabbana are the height of romanticism, as expressed through their trademark sacred heart motif that appears emblazoned across ready-to-wear and accessories for countless seasons. It decorates the front of this powder pink Devotion shoulder bag for AW22.","$1,936"
